Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-16,18.400,8.071,0.200,12.823,17.600,18.500,19.400,7.600,8.000,8.600,12.371,12.825,13.250,0.000,0.200,0.400,0.237,1.961,0.000,0.000,0.000,10.823,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T12:03:57+00:00
2026-07-17,16.692,8.686,0.200,12.762,15.700,16.700,17.600,7.300,8.800,9.700,12.308,12.796,13.221,0.000,0.200,1.200,0.404,11.765,0.000,0.000,0.000,10.762,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T12:03:57+00:00
2026-07-18,13.194,5.773,1.200,8.824,10.900,13.200,15.400,4.900,5.700,6.900,7.954,8.871,9.867,0.000,1.200,5.400,2.251,50.980,11.765,1.961,0.000,6.824,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T12:03:57+00:00
2026-07-19,10.816,4.251,0.800,7.183,7.700,10.800,13.800,2.700,4.000,6.300,5.958,6.929,8.483,0.000,0.800,9.800,3.067,49.020,21.569,9.804,0.000,5.183,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T12:03:57+00:00
2026-07-20,9.416,5.320,3.200,7.321,7.300,9.500,11.900,3.800,5.300,6.900,6.058,7.133,8.754,0.200,3.200,13.900,5.451,76.471,41.176,23.529,0.000,5.321,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T12:03:57+00:00
2026-07-21,9.735,4.312,1.000,6.808,7.900,9.400,11.900,2.100,4.100,6.700,5.250,6.442,9.058,0.000,1.000,3.000,1.325,52.941,1.961,0.000,0.000,4.808,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T12:03:57+00:00
2026-07-22,12.057,5.522,0.400,8.144,10.100,12.300,14.200,3.700,5.500,7.200,6.833,8.013,9.721,0.000,0.400,4.800,1.565,41.176,9.804,0.000,0.000,6.144,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T12:03:57+00:00
