Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-18,15.024,6.575,0.300,9.704,14.100,15.000,16.000,5.900,6.600,7.200,9.237,9.654,10.317,0.000,0.300,1.500,0.635,21.569,0.000,0.000,0.000,7.704,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T19:44:11+00:00
2026-07-19,14.600,4.822,0.000,8.610,13.700,14.700,15.300,3.900,5.000,5.700,7.875,8.633,9.338,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,6.610,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T19:44:11+00:00
2026-07-20,10.369,4.618,0.700,7.022,8.300,10.300,12.400,3.500,4.600,5.700,6.150,7.138,7.688,0.000,0.700,2.900,1.233,37.255,1.961,0.000,0.000,5.022,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T19:44:11+00:00
2026-07-21,11.188,4.582,0.400,7.516,8.800,11.800,12.900,2.700,4.800,5.900,5.779,7.725,8.704,0.000,0.400,2.600,0.853,27.451,0.000,0.000,0.000,5.516,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T19:44:11+00:00
2026-07-22,10.690,5.624,2.400,7.737,8.800,11.000,12.700,3.700,5.800,7.600,5.921,7.950,9.375,0.300,2.400,5.100,2.651,72.549,13.725,0.000,0.000,5.737,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T19:44:11+00:00
2026-07-23,11.747,4.618,0.000,7.871,9.800,11.600,13.500,3.500,4.700,6.000,6.987,7.825,8.892,0.000,0.000,1.100,0.388,13.725,0.000,0.000,0.000,5.871,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T19:44:11+00:00
2026-07-24,12.178,6.563,1.200,9.133,9.300,12.100,15.200,4.900,6.700,7.800,7.571,9.246,10.271,0.000,1.200,4.900,2.355,60.784,9.804,5.882,0.000,7.133,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T19:44:11+00:00
