Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-11,10.467,4.429,1.200,7.193,9.700,10.600,11.200,2.600,4.700,5.800,6.717,7.262,7.708,0.400,1.200,2.200,1.286,60.784,0.000,0.000,0.000,5.193,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T11:32:51+00:00
2026-07-12,10.755,1.861,0.000,5.591,10.100,10.800,11.300,0.400,1.800,3.400,4.737,5.617,6.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.591,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T11:32:51+00:00
2026-07-13,12.390,3.847,0.000,7.468,11.700,12.400,13.000,3.100,3.900,4.500,6.942,7.533,7.904,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.468,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T11:32:51+00:00
2026-07-14,13.814,5.765,0.000,9.116,13.200,13.900,14.500,5.000,5.800,6.600,8.513,9.192,9.604,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.116,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T11:32:51+00:00
2026-07-15,15.851,6.810,0.000,10.356,14.700,15.700,17.200,5.800,6.800,7.800,9.662,10.375,11.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.356,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T11:32:51+00:00
2026-07-16,16.933,7.771,0.000,11.739,14.600,17.100,18.700,6.000,7.700,9.400,10.571,11.596,13.054,0.000,0.000,1.200,0.437,13.725,0.000,0.000,0.000,9.739,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T11:32:51+00:00
2026-07-17,14.696,7.565,0.600,11.049,11.400,14.800,18.200,4.800,7.100,11.900,8.633,10.196,14.829,0.000,0.600,8.400,2.859,43.137,19.608,5.882,0.000,9.049,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T11:32:51+00:00
