Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-12,11.322,2.467,0.000,6.319,10.900,11.300,11.700,1.200,2.400,3.900,5.688,6.304,7.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.319,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-12T19:41:54+00:00
2026-07-13,12.202,4.012,0.000,7.530,11.600,12.300,12.800,3.300,4.000,4.700,7.017,7.529,7.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.530,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-12T19:41:54+00:00
2026-07-14,13.275,5.843,0.000,8.869,12.600,13.300,14.000,5.300,5.900,6.400,8.358,8.925,9.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.869,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-12T19:41:54+00:00
2026-07-15,15.376,6.975,0.000,10.317,14.500,15.400,16.200,6.400,6.900,7.600,9.650,10.367,10.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.317,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-12T19:41:54+00:00
2026-07-16,17.588,7.712,0.000,11.966,16.000,17.800,18.800,6.200,7.600,9.500,10.925,11.908,13.246,0.000,0.000,0.700,0.196,5.882,0.000,0.000,0.000,9.966,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-12T19:41:54+00:00
2026-07-17,15.312,8.684,1.200,11.966,13.100,15.100,17.700,5.900,8.500,12.300,9.412,11.996,14.179,0.000,1.200,9.900,3.902,54.902,25.490,9.804,0.000,9.966,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-12T19:41:54+00:00
2026-07-18,11.776,5.235,1.200,8.371,9.200,11.800,14.600,3.000,5.400,7.100,6.513,8.396,10.088,0.000,1.200,4.700,2.125,52.941,7.843,5.882,0.000,6.371,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-12T19:41:54+00:00
