Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-19,14.949,4.594,0.000,8.588,14.500,14.900,15.600,3.500,4.500,5.600,8.092,8.612,9.000,0.000,0.000,0.600,0.129,1.961,0.000,0.000,0.000,6.588,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-19T19:43:52+00:00
2026-07-20,11.008,4.994,1.500,7.444,8.600,11.100,13.000,4.400,5.000,5.700,6.842,7.492,8.025,0.300,1.500,4.900,2.214,68.627,9.804,0.000,0.000,5.444,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-19T19:43:52+00:00
2026-07-21,10.853,5.512,0.500,7.778,9.400,10.900,12.500,4.600,5.500,6.400,7.013,7.742,8.646,0.000,0.500,1.900,0.810,31.373,0.000,0.000,0.000,5.778,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-19T19:43:52+00:00
2026-07-22,11.239,5.324,0.400,7.859,9.500,11.200,13.000,3.800,5.200,6.700,6.658,8.112,8.821,0.000,0.400,1.900,0.771,25.490,0.000,0.000,0.000,5.859,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-19T19:43:52+00:00
2026-07-23,12.941,5.427,0.200,8.944,11.700,12.900,14.200,3.900,5.400,7.200,7.571,9.046,9.862,0.000,0.200,1.800,0.635,15.686,1.961,0.000,0.000,6.944,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-19T19:43:52+00:00
2026-07-24,13.869,7.437,2.400,10.121,10.500,14.700,16.000,6.400,7.500,8.300,8.825,10.183,11.246,0.300,2.400,9.100,3.602,72.549,25.490,7.843,0.000,8.121,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-19T19:43:52+00:00
2026-07-25,14.718,6.231,0.000,10.136,11.800,14.800,17.300,3.400,6.200,8.600,7.825,10.412,11.721,0.000,0.000,0.600,0.255,9.804,0.000,0.000,0.000,8.136,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-19T19:43:52+00:00
