Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-18,14.849,6.484,0.600,9.615,13.700,15.000,16.300,5.600,6.500,7.400,9.033,9.688,10.129,0.000,0.600,1.800,0.988,33.333,0.000,0.000,0.000,7.615,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T11:31:41+00:00
2026-07-19,14.861,4.218,0.000,8.428,13.800,14.800,15.700,3.100,4.100,5.300,7.508,8.433,9.358,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.000,6.428,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T11:31:41+00:00
2026-07-20,10.082,4.704,0.600,6.954,7.800,9.700,12.900,3.400,4.900,5.700,6.100,7.096,7.725,0.000,0.600,3.200,1.418,41.176,7.843,0.000,0.000,4.954,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T11:31:41+00:00
2026-07-21,11.047,4.863,0.300,7.475,8.700,11.300,12.900,3.200,5.100,6.300,5.629,7.729,8.688,0.000,0.300,3.900,1.027,31.373,5.882,0.000,0.000,5.475,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T11:31:41+00:00
2026-07-22,10.359,5.296,2.400,7.439,7.800,10.500,12.500,3.700,5.600,7.100,5.929,7.400,8.896,0.300,2.400,6.000,2.769,82.353,19.608,0.000,0.000,5.439,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T11:31:41+00:00
2026-07-23,12.224,4.684,0.200,7.991,10.200,12.400,13.800,2.900,4.700,6.400,6.458,8.117,9.054,0.000,0.200,1.600,0.453,19.608,0.000,0.000,0.000,5.991,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T11:31:41+00:00
2026-07-24,12.125,6.867,1.200,9.167,8.900,12.100,15.200,5.700,7.000,7.900,7.725,9.396,10.433,0.000,1.200,5.200,2.467,60.784,11.765,5.882,0.000,7.167,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-18T11:31:41+00:00
