Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_Media_Ens,TMIN_Media_Ens,TMEDIA_Media_Ens,Prec_Media_Ens,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-08-09,8.000,0.600,0.000,4.188,8.016,0.573,4.178,0.000,7.400,8.000,8.700,0.100,0.600,1.100,3.804,4.188,4.533,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.188,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-63.000,221.000,2026-08-09T19:28:26+00:00
2026-08-10,10.000,-0.200,0.000,4.346,10.029,-0.233,4.279,0.000,9.600,10.000,10.400,-0.600,-0.200,0.100,3.933,4.346,4.608,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.346,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-63.000,221.000,2026-08-09T19:28:26+00:00
2026-08-11,11.500,2.400,0.000,6.312,11.443,2.453,6.292,0.000,10.800,11.500,12.000,1.700,2.400,3.300,5.817,6.312,6.683,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.312,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-63.000,221.000,2026-08-09T19:28:26+00:00
2026-08-12,9.800,4.000,0.000,6.579,9.810,3.882,6.647,0.249,8.500,9.800,11.100,3.000,4.000,4.700,6.179,6.579,7.225,0.000,0.000,0.600,7.843,0.000,0.000,0.000,4.579,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-63.000,221.000,2026-08-09T19:28:26+00:00
2026-08-13,10.600,4.000,0.000,6.767,10.218,3.951,6.693,0.578,7.900,10.600,12.100,2.900,4.000,5.200,5.692,6.767,7.596,0.000,0.000,2.300,19.608,1.961,0.000,0.000,4.767,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-63.000,221.000,2026-08-09T19:28:26+00:00
2026-08-14,11.300,3.800,0.000,7.108,11.178,3.918,7.173,0.978,9.200,11.300,13.100,2.500,3.800,6.000,6.004,7.108,8.417,0.000,0.000,3.300,25.490,5.882,0.000,0.000,5.108,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-63.000,221.000,2026-08-09T19:28:26+00:00
2026-08-15,13.100,6.500,1.200,9.850,13.261,6.224,9.863,1.910,11.500,13.100,15.600,4.300,6.500,8.100,8.954,9.850,10.750,0.000,1.200,4.400,64.706,5.882,0.000,0.000,7.850,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble_P50,51,-37.750,-63.000,221.000,2026-08-09T19:28:26+00:00
