Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-11,10.220,4.035,1.600,7.007,9.200,10.300,11.100,2.600,4.000,5.600,6.633,6.983,7.408,0.800,1.600,2.700,1.706,82.353,0.000,0.000,0.000,5.007,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T19:44:14+00:00
2026-07-12,10.502,1.461,0.000,5.309,9.700,10.600,11.100,0.200,1.400,3.100,4.550,5.229,6.237,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,3.309,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T19:44:14+00:00
2026-07-13,12.327,3.898,0.000,7.520,11.700,12.300,13.000,3.500,3.900,4.600,7.096,7.517,8.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.520,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T19:44:14+00:00
2026-07-14,13.841,5.761,0.000,9.132,13.100,13.900,14.500,5.000,5.700,6.500,8.675,9.092,9.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.132,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T19:44:14+00:00
2026-07-15,15.582,6.849,0.000,10.317,14.700,15.700,16.400,6.100,6.800,7.600,9.692,10.333,10.846,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.317,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T19:44:14+00:00
2026-07-16,17.065,7.555,0.000,11.493,15.800,17.000,18.400,6.000,7.600,9.000,10.375,11.471,12.812,0.000,0.000,0.300,0.094,1.961,0.000,0.000,0.000,9.493,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T19:44:14+00:00
2026-07-17,14.829,6.663,0.600,10.905,11.400,14.900,18.200,4.100,6.200,10.900,8.662,10.617,13.808,0.000,0.600,8.400,2.661,43.137,17.647,5.882,0.000,8.905,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-11T19:44:14+00:00
