Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-16,18.588,7.971,0.200,12.971,17.500,18.600,19.400,7.400,8.000,8.400,12.638,12.946,13.308,0.000,0.200,0.400,0.194,1.961,0.000,0.000,0.000,10.971,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T19:43:27+00:00
2026-07-17,17.041,8.861,0.100,12.941,16.200,17.200,17.800,7.700,8.900,10.000,12.483,12.883,13.442,0.000,0.100,0.500,0.194,1.961,0.000,0.000,0.000,10.941,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T19:43:27+00:00
2026-07-18,12.822,5.890,1.200,8.761,10.500,12.800,14.800,5.000,5.900,6.800,7.879,8.717,9.517,0.000,1.200,4.200,2.018,56.863,7.843,1.961,0.000,6.761,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T19:43:27+00:00
2026-07-19,11.875,4.231,0.500,7.580,9.500,12.000,14.000,3.100,4.000,5.700,6.683,7.842,8.388,0.000,0.500,4.500,1.647,29.412,9.804,1.961,0.000,5.580,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T19:43:27+00:00
2026-07-20,8.927,4.833,5.400,6.934,7.300,8.500,11.200,3.200,4.700,6.500,5.913,6.758,8.146,0.300,5.400,15.300,6.869,84.314,54.902,27.451,0.000,4.934,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T19:43:27+00:00
2026-07-21,9.165,2.831,0.300,5.775,7.500,9.100,11.100,-0.100,3.100,5.300,4.312,5.833,7.388,0.000,0.300,3.000,1.010,33.333,3.922,0.000,0.000,3.775,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T19:43:27+00:00
2026-07-22,12.057,4.475,0.300,7.916,10.100,12.300,14.200,2.900,4.400,6.000,6.775,7.750,9.400,0.000,0.300,3.600,1.269,31.373,7.843,0.000,0.000,5.916,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-16T19:43:27+00:00
