Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-22,10.308,2.388,0.000,5.856,9.700,10.300,11.000,1.600,2.400,3.200,5.237,5.854,6.362,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,3.856,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-22T12:13:43+00:00
2026-07-23,11.682,5.829,0.600,8.581,10.800,11.700,12.600,5.000,5.800,6.700,8.037,8.550,9.067,0.200,0.600,1.400,0.680,25.490,0.000,0.000,0.000,6.581,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-22T12:13:43+00:00
2026-07-24,15.151,6.851,1.000,10.007,14.300,15.300,15.800,6.000,6.800,7.900,9.450,10.025,10.479,0.000,1.000,3.600,1.439,50.980,3.922,0.000,0.000,8.007,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-22T12:13:43+00:00
2026-07-25,14.843,6.892,0.300,10.423,13.100,14.800,16.700,5.400,6.800,8.400,9.688,10.446,11.250,0.000,0.300,2.100,0.727,21.569,0.000,0.000,0.000,8.423,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-22T12:13:43+00:00
2026-07-26,16.755,7.518,0.300,11.690,14.700,17.200,18.500,5.500,7.600,9.200,10.400,11.958,12.817,0.000,0.300,1.200,0.647,11.765,1.961,1.961,0.000,9.690,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-22T12:13:43+00:00
2026-07-27,17.776,9.578,0.000,12.942,16.000,18.300,19.300,7.300,9.700,11.400,12.112,13.004,13.808,0.000,0.000,3.600,1.004,29.412,5.882,0.000,0.000,10.942,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-22T12:13:43+00:00
2026-07-28,12.380,5.743,1.200,8.916,10.000,12.000,16.300,4.200,5.600,7.300,7.292,8.704,10.750,0.000,1.200,4.200,1.824,50.980,9.804,3.922,0.000,6.916,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-37.750,-63.000,221.000,2026-07-22T12:13:43+00:00
